experiment,description,algorithms,run,seed,average_delay_mean,average_delay_std,average_delay_min,average_delay_max,average_delay_final,throughput_mean,throughput_std,throughput_min,throughput_max,throughput_final,average_queue_length_mean,average_queue_length_std,average_queue_length_min,average_queue_length_max,average_queue_length_final,average_speed_mean,average_speed_std,average_speed_min,average_speed_max,average_speed_final,total_vehicles_mean,total_vehicles_std,total_vehicles_min,total_vehicles_max,total_vehicles_final
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",5,5,20.553441097047703,5.145565205967388,0.0,38.63076923076923,19.741409144552463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977830705688438,0.7012759727685831,0.0,3.75,0.9874747484134307,12.707962962962965,3.4742560512632585,0.0,25.0,12.901851851851852
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",6,6,22.778203677594497,6.669746583905927,0.0,48.88000000000001,23.552858376166323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9193500211487796,0.6955045512004697,0.0,4.5,0.8825602442161984,13.07925925925926,4.382120175107129,0.0,27.0,12.3
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",7,7,31.99960932875184,7.430571450060952,0.0,55.29090909090908,31.42500786858509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8531274374664388,0.7165620320926382,0.0,4.0,0.8801210233837578,17.873703703703704,4.089640614608202,1.0,33.0,20.22222222222222
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",8,8,23.34524753740912,6.749874671356162,0.0,50.53333333333333,24.45264800633916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180791164158992,0.7091321369311148,0.0,3.7142857142857135,0.863985110441649,12.326296296296295,3.736533002018244,0.0,25.0,11.612962962962962
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",9,9,24.79960847889775,6.2996390221331895,0.0,47.81333333333334,24.843079772924455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8668182668342089,0.6719634414325673,0.0,3.75,0.877212252885834,14.522592592592591,4.080333222224574,0.0,29.0,16.616666666666667
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",10,10,23.422312931981672,6.827791140733292,0.0,46.7,23.58942487498232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098438021873364,0.695400535730997,0.0,4.111111111111111,0.884488611695354,13.363518518518518,3.918413632811781,0.0,26.0,13.61851851851852
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",11,11,21.544210810710197,5.911279239879615,0.0,46.35,24.262739552727496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9312579273341638,0.7065553836561095,0.0,4.0,0.8441476232258601,12.835185185185184,3.8838057608393175,0.0,29.0,11.70925925925926
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",12,12,31.836739305186192,7.278747784491125,0.0,55.27,32.94692526220071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8570494018154137,0.722257413687883,0.0,3.5,0.8688723810153614,17.967407407407407,4.728053857398797,0.0,39.0,17.14074074074074
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",13,13,23.992604947568974,6.9767728990255895,0.0,47.92941176470588,23.538416457582915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9193934663871408,0.6991996516034472,0.0,5.0,0.9158073833856616,14.464444444444444,4.6668883545227695,0.0,30.0,14.281481481481482
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",14,14,21.59837502525831,5.64908787003413,0.0,43.43076923076924,22.668276648869355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200332024508006,0.6984421556780831,0.0,3.8,0.8488525098148422,12.62425925925926,3.573529794481067,0.0,26.0,13.16851851851852
